milis,posisi_target,posisi_bola
89588,16,17
89700,16,17
89810,16,17
89922,16,17
90034,16,17
90144,16,17
90256,16,17
90366,16,17
90478,16,17
90590,16,17
90700,16,17
90812,16,17
90924,16,17
91034,16,17
91146,16,17
91257,16,17
91368,16,17
91480,16,17
91591,16,17
91702,16,17
91813,16,17
91925,16,17
92036,16,17
92147,16,17
92259,16,17
92369,16,17
92481,16,17
92593,16,17
92703,16,17
92815,16,17
92925,16,17
93037,16,17
93149,16,17
93259,16,17
93371,16,17
93483,16,17
93593,16,17
93705,16,17
93816,16,17
93927,16,17
94039,16,17
94149,16,16
94260,16,12
94369,16,5
94479,16,2
94587,16,2
94696,16,2
94804,16,5
94914,16,10
95025,16,15
95136,16,19
95249,16,24
95361,16,23
95473,16,21
95585,16,20
95696,16,17
95807,16,16
95918,16,13
96028,16,11
96139,16,10
96248,16,10
96358,16,10
96468,16,12
96579,16,13
96690,16,15
96801,16,16
96912,16,17
97024,16,19
97135,16,21
97247,16,21
97359,16,23
97471,16,22
97584,16,21
97695,16,20
97807,16,18
97918,16,17
98029,16,16
98140,16,15
98251,16,15
98362,16,16
98472,16,14
98584,16,15
98695,16,15
98805,16,15
98916,16,15
99026,16,15
99138,16,15
99249,16,15
99359,16,15
99470,16,15
99580,16,15
99692,16,15
99803,16,15
99913,16,15
100024,16,15
100134,16,15
100246,16,15
100357,16,15
100467,16,15
100578,16,15
100689,16,15
100800,16,15
100911,16,15
101021,16,15
101133,16,15
101243,16,15
101354,16,15
101465,16,15
101576,16,15
101687,16,15
101797,16,15
101908,16,15
102020,16,15
102130,16,15
102241,16,15
102351,16,15
102463,16,15
102574,16,15
102684,16,15
102795,16,15
102906,16,15
103017,16,15
103128,16,15
103238,16,15
103350,16,15
103460,16,15
103571,16,15
103682,16,15
103793,16,15
103904,16,15
104014,16,15
104125,16,15
104237,16,15
104347,16,15
104458,16,15
104568,16,15
104680,16,14
104791,16,15
104901,16,16
105013,16,16
105123,16,16
105235,16,17
105347,16,20
105458,16,22
105571,16,23
105682,16,23
105795,16,22
105908,16,22
106019,16,21
106131,16,19
106243,16,18
106354,16,17
106465,16,16
106575,16,16
106687,16,16
106798,16,16
106908,16,16
107020,16,16
107130,16,16
107241,16,16
107353,16,16
107463,16,16
107574,16,16
107684,16,16
107796,16,16
107907,16,16
108017,16,16
108129,16,16
108239,16,16
108350,16,16
108461,16,16
108572,16,17
108683,16,14
108793,16,7
108902,16,2
109010,16,3
109119,16,2
109229,16,5
109338,16,10
109449,16,15
109560,16,21
109673,16,23
109785,16,23
109897,16,21
110009,16,19
110120,16,19
110232,16,17
110343,16,17
110454,16,17
110566,16,17
110676,16,17
110788,16,17
110900,16,17
111010,16,17
111122,16,17
111234,16,17
111344,16,17
111456,16,17
111566,16,17
111678,16,17
111790,16,17
111900,16,17
112012,16,17
112123,16,17
112234,16,17
112346,16,17
112457,16,17
112568,16,17
112679,16,17
112790,16,17
112902,16,17
113013,16,17
113124,16,17
113235,16,17
113347,16,17
113458,16,17
113569,16,17
113681,16,17
113792,16,17
113903,16,17
114014,16,17
114125,16,17
114237,16,17
114348,16,17
114459,16,17
114571,16,17
114681,16,17
114793,16,17
114905,16,17
115015,16,17
115127,16,17
115238,16,17
115349,16,17
115461,16,17
115571,16,17
115683,16,17
115794,16,17
115905,16,17
116017,16,17
116128,16,17
116239,16,17
116350,16,17
116462,16,17
116573,16,17
116684,16,17
116795,16,17
116907,16,17
117018,16,17
117129,16,17
117240,16,17
117352,16,17
117463,16,17
117574,16,17
117686,16,17
117796,16,17
117908,16,17
118020,16,17
118130,16,17
118242,16,17
118352,16,17
118464,16,17
118576,16,17
118686,16,17
118798,16,17
118909,16,17
119020,16,17
119132,16,17
119243,16,17
119354,16,17
119465,16,17
119576,16,17
119688,16,17
119799,16,17
119910,16,17
120022,16,17
120133,16,17
120244,16,17
120355,16,17
120467,16,17
120578,16,17
120689,16,17
120801,16,17
120911,16,17
121023,16,17
121135,16,17
121246,16,17
121357,16,17
121468,16,17
121580,16,17
121691,16,17
121802,16,17
121914,16,17
122024,16,17
122136,16,17
122248,16,16
122358,16,16
122469,16,16
122580,16,16
122691,16,14
122802,16,13
122912,16,10
123022,16,8
123131,16,7
123241,16,7
123351,16,6
123460,16,7
123570,16,9
123679,16,11
123790,16,12
123900,16,15
124012,16,16
124123,16,16
124234,16,18
124346,16,19
124457,16,20
124569,16,20
124681,16,19
124793,16,19
124904,16,19
125016,16,19
125127,16,19
125239,16,19
125350,16,19
125462,16,19
125574,16,19
125685,16,19
125797,16,19
125908,16,19
126020,16,19
126132,16,19
126243,16,19
126355,16,19
126467,16,19
126578,16,19
126690,16,19
126801,16,19
126913,16,19
127025,16,19
127136,16,19
127248,16,19
127360,16,19
127471,16,19
127582,16,19
127693,16,19
127805,16,18
127917,16,17
128028,16,17
128139,16,14
128249,16,11
128359,16,7
128468,16,2
128577,16,1
128686,16,1
128794,16,3
128903,16,5
129012,16,8
129123,16,14
129234,16,16
129345,16,19
129458,16,21
129569,16,23
129682,16,23
129795,16,22
129906,16,21
130018,16,19
130129,16,17
130240,16,16
130351,16,13
130461,16,9
130571,16,7
130680,16,5
130789,16,4
130898,16,5
131008,16,7
131118,16,9
131228,16,14
131339,16,16
131450,16,17
131562,16,20
131674,16,22
131786,16,24
131899,16,23
132011,16,22
132122,16,20
132234,16,17
132345,16,16
132456,16,15
132567,16,12
132677,16,11
132787,16,9
132897,16,9
133007,16,9
133117,16,11
133227,16,11
133338,16,14
133449,16,16
133560,16,15
133670,16,16
133782,16,17
133894,16,20
134006,16,22
134118,16,22
134231,16,21
134342,16,22
134454,16,20
134565,16,19
134677,16,18
134789,16,17
134900,16,16
135011,16,15
135121,16,15
135232,16,13
135343,16,12
135453,16,12
135564,16,13
135674,16,14
135785,16,14
135897,16,14
136007,16,14
136118,16,15
136229,16,15
136340,16,15
136451,16,16
136561,16,16
136673,16,16
136783,16,16
136894,16,16
137006,16,16
137116,16,16
137227,16,16
137337,16,16
137449,16,16
137560,16,16
137670,16,16
137782,16,16
137892,16,16
138003,16,16
138115,16,16
138225,16,16
138336,16,16
138447,16,16
138558,16,16
138669,16,16
138779,16,16
138891,16,16
139001,16,16
139112,16,16
139224,16,16
139334,16,16
139445,16,16
139556,16,16
139667,16,16
139778,16,16
139888,16,16
140000,16,16
140110,16,16
140221,16,16
140333,16,16
140443,16,16
140554,16,16
140665,16,16
140776,16,16
140887,16,16
140997,16,16
141109,16,16
141219,16,16
141330,16,16
141441,16,12
141551,16,8
141661,16,3
141769,16,2
141878,16,3
141986,16,2
142095,16,3
142204,16,7
142314,16,12
142426,16,17
142537,16,23
142650,16,23
142763,16,22
142874,16,20
142986,16,17
143096,16,17
143208,16,16
143319,16,16
143430,16,16
143541,16,16
143652,16,17
143763,16,17
143875,16,17
143985,16,17
144097,16,17
144207,16,17
144319,16,17
144431,16,17
144541,16,17
144653,16,17
144763,16,17
144875,16,17
144986,16,17
145097,16,17
145209,16,17
145319,16,17
145431,16,17
145542,16,17
145653,16,17
145764,16,17
145875,16,17
145987,16,17
146098,16,17
146209,16,17
146320,16,17
146432,16,17
146542,16,17
146654,16,17
146765,16,17
146876,16,17
146988,16,17
147098,16,17
147210,16,17
147321,16,17
147432,16,17
147544,16,17
147654,16,17
147766,16,17
147876,16,17
147988,16,17
148100,16,17
148210,16,17
148322,16,17
148432,16,17
148544,16,17
148656,16,17
148766,16,17
148878,16,17
148988,16,17
149100,16,17
149211,16,17
149322,16,17
149434,16,17
149544,16,17
149656,16,17
149767,16,17
149878,16,17
149989,16,17
150100,16,17
150212,16,17
150323,16,17
150434,16,17
150545,16,17
150657,16,17
150768,16,17
150879,16,17
150990,16,17
151101,16,17
151213,16,17
151323,16,17
151435,16,17
151546,16,17
151657,16,17
151769,16,17
151879,16,17
151991,16,16
152101,16,16
152213,16,17
152324,16,16
152434,16,16
152546,16,16
152656,16,16
152767,16,16
152879,16,16
152989,16,16
153100,16,16
153211,16,16
153322,16,16
153433,16,16
153544,16,16
153655,16,16
153765,16,16
153877,16,16
153988,16,16
154098,16,16
154210,16,16
154320,16,16
154431,16,16
154542,16,16
154653,16,16
